slug,city,source,N,mean_degree,W_disorder,std_potential,ipr_H_mean,ipr_H_median,ipr_H_max,pr_H_mean,pr_H_min,ipr_L_mean,pr_L_mean,r_mean_H,r_mean_L,phase_H,phase_L,dist_to_GOE_H,dist_to_Poisson_H,mobility_edge_E_c,frac_localized,top_mode_mass_5pct,top_mode_xi_proxy,lambda_min_H,lambda_max_H,lambda_min_L,lambda_max_L
boston_bluebikes,Bluebikes Boston,tier1,497,1.6180622100170812,1.0,0.9999999999981694,0.336938053234368,0.3052285341399299,0.9999992741460172,0.008667153770068063,0.0020120738950794963,0.15992002554949808,0.03421134635715895,0.4009933567561606,0.4164284051337575,localized_Poisson,localized_Poisson,0.12850664324383937,0.014693356756160625,,1.0,1.0,0.044856146681134974,-1.3053651672989266,4.619516021528253,-9.913366871099516e-17,1.9985873258214373
dc_capitalbikeshare,Capital Bikeshare DC,tier1,776,1.5885812522996903,1.0,0.9999999999977331,0.37667633257204014,0.3577503075737326,0.9999999999999831,0.005032401916476905,0.0012886597938144546,0.18895921418795192,0.025080504855185374,0.4076762380452623,0.4067313128862329,localized_Poisson,localized_Poisson,0.12182376195473765,0.02137623804526234,,1.0,1.0,0.03589790793088721,-1.8530173684244562,4.682299459823239,-3.266616600407602e-16,2.0000000000000004
chicago_divvy,Divvy Chicago,tier1,1345,1.4847353556913085,1.0,0.9999999999984645,0.27455732857103377,0.22724711346610904,0.9999999999405427,0.0048025731370557505,0.0007434944238360277,0.1634082981574376,0.016193499528804695,0.39616405777298597,0.4061081988277515,localized_Poisson,localized_Poisson,0.133335942227014,0.00986405777298599,1.7627598148622825,1.0,1.0,0.027267094158271207,-0.9670521268570771,10.177905330645357,1.0098832735677172e-16,1.9999780413223784
sf_baywheels,Bay Wheels SF,tier1,560,1.9143212961100833,1.0,0.9999999999981103,0.2940558419970541,0.2576868626861998,0.9816719401035967,0.009423771087965913,0.0018190540166869162,0.12031661583005189,0.04062238791122679,0.41006522833172976,0.41700288239268357,localized_Poisson,localized_Poisson,0.11943477166827021,0.023765228331729782,,1.0,0.999999969803649,0.04265036947890272,-1.2373528835203944,4.956954408459091,-1.6832227456201373e-17,1.9983343012501271
london_tfl,Santander Cycles London,tier1,798,3.1181890041843405,1.0,0.9999999999982521,0.24048451353276853,0.1822193161546339,0.9490093986808523,0.009175087444946774,0.0013204640900523089,0.03616164689940128,0.08353601903964186,0.39970446998045,0.49202539064138984,localized_Poisson,extended_GOE,0.12979553001954997,0.013404469980450029,2.172967468993038,1.0,0.9999999999992878,0.03633819051703468,-1.411024177219312,5.488323560489493,-2.5509037102694125e-16,1.6591579072926494
montreal_bixi,BIXI Montréal,tier1,1057,2.4166272749276985,1.0,0.9999999999982302,0.27400018880707094,0.22070172154377088,0.9999986460194409,0.008026103313538795,0.0009460750747231715,0.12675750024004853,0.042747755264520126,0.3982977670737899,0.45115961544670474,localized_Poisson,intermediate,0.13120223292621008,0.011997767073789911,3.2515900140327907,1.0,0.9999999999988071,0.030758333419143042,-1.3631296566942315,6.829455875374628,-1.073266569277444e-15,1.9999970501278101
tier2_paris,Vélib Paris,tier2,1511,2.805919866581264,1.0,0.9999999999980838,0.25016641384847066,0.17960251563310808,0.9999999981830281,0.0057592136343172515,0.0006618133698325427,0.05781802815214555,0.07470122674378475,0.3839334796167908,0.49017488299834777,localized_Poisson,extended_GOE,0.14556652038320916,0.0023665203832091697,2.0285675638385423,1.0,0.9999999999999978,0.02572573361116341,-1.3775956166177041,7.155440675776396,-9.874784262628795e-17,1.9999999999728373
tier2_lyon,Vélo'v Lyon,tier2,462,2.679850891388132,1.0,0.9999999999980125,0.2773934267724338,0.2074154510092183,1.0,0.015275021951100901,0.0021645021645021645,0.08077059603912969,0.10121795293183852,0.3828338697254435,0.4794962381956624,localized_Poisson,intermediate,0.1466661302745565,0.0034661302745565004,1.9171990997200303,1.0,1.0,0.046524210519923545,-1.2752129085344714,4.931513814293549,-2.847384591643203e-16,1.999999975455636
tier2_toulouse,VéLÔ Toulouse,tier2,448,2.3504497368386432,1.0,0.9999999999980141,0.29447992732446554,0.2369223631850722,1.0,0.011962155048896389,0.002232142857142857,0.08376832393577664,0.08912338129390347,0.41495318353859734,0.45910652344062514,localized_Poisson,intermediate,0.11454681646140263,0.02865318353859736,,1.0,1.0,0.0472455591261534,-1.4365738201119318,7.0121724524939895,1.6621301356869451e-16,1.9822918132562053
