slug,city,source,N,d_eff_2,d_eff_ratio_2,mean_IPR_top2,max_IPR_top2,frac_localized_top2,d_eff_4,d_eff_ratio_4,mean_IPR_top4,max_IPR_top4,frac_localized_top4,d_eff_8,d_eff_ratio_8,mean_IPR_top8,max_IPR_top8,frac_localized_top8,d_eff_16,d_eff_ratio_16,mean_IPR_top16,max_IPR_top16,frac_localized_top16,d_eff_32,d_eff_ratio_32,mean_IPR_top32,max_IPR_top32,frac_localized_top32,R2spec_lowfreq_2,R2spec_lowfreq_4,R2spec_lowfreq_8,R2spec_lowfreq_16,R2spec_lowfreq_32,R2spec_IMD_subspace,N_with_demand
boston_bluebikes,Bluebikes Boston,tier1,497,0.5806464295416115,0.29032321477080575,0.050790384747318854,0.09798850575361762,0.5,0.5945078784665361,0.14862696961663402,0.17701074103742856,0.3658208253306804,0.75,0.7680893706530904,0.0960111713316363,0.18383394227303723,0.38208344645466935,0.875,1.5562127868124649,0.09726329917577906,0.1398947741020089,0.449577246536683,0.875,2.732565954813143,0.08539268608791072,0.11477575741447313,0.449577246536683,0.9375,0.07131193201085767,0.08227272891118555,0.11528675084578535,0.3407978857741014,0.46617380698234184,0.10627328969103848,493
dc_capitalbikeshare,Capital Bikeshare DC,tier1,776,0.011650175058836277,0.005825087529418138,0.22280609535813045,0.24157026041349894,1.0,0.03303226870211131,0.008258067175527828,0.19457988051192834,0.25365703278329077,1.0,0.5917941259674661,0.07397426574593326,0.17864929670754698,0.4209357676081239,0.875,0.7180274833015324,0.04487671770634578,0.15397960318682258,0.4209357676081239,0.9375,1.1045653598026375,0.03451766749383242,0.15651510470493152,0.49793628855341443,0.96875,0.009936730820846288,0.021162169520574575,0.1282881521786429,0.17227539750205256,0.48224680527159675,0.2679812070758887,765
chicago_divvy,Divvy Chicago,tier1,1345,0.6252561627450351,0.3126280813725176,0.12448786415495018,0.24778089055645147,0.5,0.6298556186120486,0.15746390465301216,0.24038840269025621,0.46470838152208094,0.75,0.6513727407001382,0.08142159258751727,0.23203054486553665,0.48899081970311326,0.875,0.9024182313755889,0.0564011394609743,0.17521033986212597,0.48899081970311326,0.9375,2.076564485024998,0.06489264015703118,0.11855899386311733,0.48899081970311326,0.9375,0.022192858179242495,0.022409556433704538,0.03477146663058297,0.15017520746327614,0.5082969610950149,0.3169825371438143,1337
sf_baywheels,Bay Wheels SF,tier1,560,0.5802183287724787,0.29010916438623935,0.010307167094520562,0.016848863965800317,0.5,0.7747659097097053,0.19369147742742632,0.027030928510488744,0.07708997704887133,0.75,0.8785353217562513,0.10981691521953141,0.1071268630904426,0.4755270110056163,0.875,1.5553227942319148,0.09720767463949467,0.07684923812005684,0.4755270110056163,0.875,2.4412689684664874,0.07628965526457773,0.06800353832750378,0.4755270110056163,0.9375,0.18613434115816907,0.27497326067391353,0.3697720789108237,0.3905900309757798,0.4348188400553645,0.15409801726094963,552
london_tfl,Santander Cycles London,tier1,798,1.3818802361667515,0.6909401180833757,0.0019307536794566965,0.002406224402793728,0.0,2.025804466647722,0.5064511166619305,0.003044647625759776,0.00521101356098435,0.0,2.945100014457957,0.36813750180724464,0.010543114608534934,0.05862739783502557,0.125,4.667269642399343,0.2917043526499589,0.008976001685443703,0.05862739783502557,0.3125,7.543418496596615,0.23573182801864423,0.00896943665861032,0.05862739783502557,0.375,0.008419078832760295,0.10874179412792011,0.13707692225634424,0.198696434155781,0.291242588233287,0.12634998548328957,788
montreal_bixi,BIXI Montréal,tier1,1057,0.5698292787685961,0.28491463938429806,0.13714100286579028,0.2726115564008641,0.5,0.5900350963624768,0.1475087740906192,0.14173668190239846,0.2726115564008641,0.75,0.6065951484355666,0.07582439355444583,0.18827095106665478,0.2988493824737359,0.875,0.6858097816926649,0.04286311135579156,0.19332946434757958,0.49988138215470856,0.9375,1.4412660903170706,0.04503956532240846,0.18634619382075468,0.49988138215470856,0.9375,0.10369562689084026,0.11528342750848287,0.1275798241133135,0.23302356931691343,0.40684652489787226,0.22484330191812538,717
tier2_paris,Vélib Paris,tier2,1511,0.7511831265176078,0.3755915632588039,0.2504412085461416,0.49999983392942143,0.5,0.7575116566569933,0.18937791416424832,0.24228535558654393,0.49999983392942143,0.75,0.7794319535537154,0.09742899419421443,0.23427405871142046,0.49999983392942143,0.875,1.1858292206464136,0.07411432629040085,0.150713202298431,0.49999983392942143,0.875,2.276176237953457,0.07113050743604553,0.10449068963513158,0.49999983392942143,0.90625,0.033798214201764945,0.050515293002953855,0.11639769519151309,0.1726308724226558,0.291760904444186,0.1772717827340645,1361
tier2_lyon,Vélo'v Lyon,tier2,462,0.013737677375698538,0.006868838687849269,0.3152648747546628,0.3220444240714924,1.0,0.7560983444702559,0.18902458611756398,0.2833656128949865,0.4999998981324018,0.75,1.073695467163112,0.134211933395389,0.28320967373794276,0.4999998981324018,0.75,2.154519001564453,0.13465743759777832,0.18797474515898854,0.4999998981324018,0.6875,4.186071145295278,0.13081472329047744,0.12220709188812798,0.4999998981324018,0.6875,0.02639637011534768,0.074154267025321,0.1204004375720529,0.3468724293255369,0.42444592759744076,0.19874589842626833,462
tier2_toulouse,VéLÔ Toulouse,tier2,448,0.648854862035142,0.324427431017571,0.12755721772290673,0.2516266250843135,0.5,0.6938657373089783,0.17346643432724457,0.11855125880279352,0.2516266250843135,0.75,0.9332062725153538,0.11665078406441923,0.08875521997827535,0.2516266250843135,0.875,1.856170655734626,0.11601066598341413,0.09275344031418473,0.4628416899705577,0.8125,4.67966947047013,0.14623967095219156,0.056073222384936075,0.4628416899705577,0.65625,0.061696668101042906,0.13063904871838852,0.24747190987178957,0.358085196026231,0.4093106393608364,0.1746020178778931,448
